directory,file_count,base_type
drawable,2,drawable
drawable-hdpi,26,drawable
drawable-mdpi,59,drawable
drawable-xhdpi,33,drawable
drawable-xxhdpi,30,drawable
drawable-xxxhdpi,16,drawable
filters-mdpi,1,filters
layout,3,layout
menu,1,menu
mipmap-hdpi,1,mipmap
mipmap-mdpi,1,mipmap
mipmap-xhdpi,1,mipmap
mipmap-xxhdpi,1,mipmap
raw,2,raw
values,5,values
values-az,2,values
values-be,2,values
values-cs,2,values
values-de,2,values
values-es,2,values
values-fr,2,values
values-hu,2,values
values-it,2,values
values-ja,2,values
values-ko,2,values
values-pt-rBR,2,values
values-pt-rPT,2,values
values-ru,2,values
values-sl,2,values
values-sw600dp,1,values
values-sw720dp-land,1,values
values-tr,2,values
values-uk,2,values
values-v11,1,values
values-v14,1,values
values-v21,1,values
values-zh-rCN,2,values
values-zh-rTW,2,values
xml,3,xml
